set A := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40;
set A1 := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39;
set A2 := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40;
set K := 0 1 2 3;
set T := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66;
set W := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66;
set T1 := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66;
param m := 40;
param n := 66;
param: arrTime :=
0	7
1	16
2	23
3	31
4	38
5	45
6	52
7	59
8	66
9	72
10	78
11	84
12	90
13	96
14	102
15	109
16	115
17	121
18	127
19	134
20	140
21	147
22	155
23	162
24	170
25	178
26	185
27	194
28	202
29	210
30	218
31	229
32	242
33	267
34	282
35	289
36	311
37	334
38	355
39	366
40	394
41	408
42	427
43	445
44	461
45	478
46	500
47	515
48	526
49	536
50	545
51	554
52	562
53	570
54	579
55	588
56	599
57	609
58	621
59	632
60	644
61	656
62	668
63	679
64	690
65	701
66	712;
param: kArrT:= 
0	1
1	1
2	2
3	2
4	3
5	3
6	3
7	4
8	4
9	5
10	5
11	5
12	6
13	6
14	6
15	7
16	7
17	7
18	8
19	8
20	8
21	9
22	9
23	10
24	10
25	10
26	11
27	11
28	12
29	12
30	13
31	13
32	14
33	15
34	16
35	17
36	18
37	19
38	20
39	21
40	22
41	23
42	24
43	25
44	26
45	27
46	28
47	29
48	30
49	30
50	31
51	31
52	32
53	32
54	33
55	33
56	34
57	34
58	35
59	36
60	36
61	37
62	38
63	38
64	39
65	39
66	40;
param: knotPs := 
0  0
1  18
2  36
3  54
4  72
5  90
6  108
7  126
8  144
9  162
10  180
11  198
12  216
13  234
14  252
15  270
16  288
17  306
18  324
19  342
20  360
21  378
22  396
23  414
24  432
25  450
26  468
27  486
28  504
29  522
30  540
31  558
32  576
33  594
34  612
35  630
36  648
37  666
38  684
39  702
40  720;
param: nKnotPs := 
1	214
2	254
3	250
4	280
5	294
6	290
7	292
8	271
9	242
10	232
11	226
12	226
13	170
14	71
15	99
16	82
17	74
18	102
19	52
20	31
21	23
22	26
23	33
24	34
25	42
26	53
27	65
28	88
29	135
30	188
31	210
32	210
33	190
34	173
35	157
36	149
37	154
38	163
39	156
40	166;
