set A := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;
set A1 := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19;
set A2 := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;
set K := 0 1 2 3;
set T := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60;
set W := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60;
set T1 := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60;
param m := 20;
param n := 60;
param: arrTime :=
0  790
1  1679
2  2393
3  3155
4  3804
5  4568
6  5250
7  5903
8  6619
9  7207
10  7822
11  8459
12  9047
13  9663
14  10290
15  10910
16  11530
17  12112
18  12739
19  13417
20  14089
21  14765
22  15539
23  16298
24  17053
25  17864
26  18572
27  19404
28  20251
29  21007
30  21882
31  22963
32  24231
33  26752
34  28981
35  31191
36  33422
37  39481
38  44591
39  47813
40  50072
41  51587
42  52652
43  53642
44  54501
45  55415
46  56203
47  57078
48  57904
49  58865
50  59906
51  60962
52  62118
53  63239
54  64414
55  65694
56  66810
57  67946
58  69009
59  70114
60  71277;
param: kArrT:= 
0  1
1  1
2  1
3  1
4  2
5  2
6  2
7  2
8  2
9  3
10  3
11  3
12  3
13  3
14  3
15  4
16  4
17  4
18  4
19  4
20  4
21  5
22  5
23  5
24  5
25  5
26  6
27  6
28  6
29  6
30  7
31  7
32  7
33  8
34  9
35  9
36  10
37  11
38  13
39  14
40  14
41  15
42  15
43  15
44  16
45  16
46  16
47  16
48  17
49  17
50  17
51  17
52  18
53  18
54  18
55  19
56  19
57  19
58  20
59  20
60  20;
param: knotPs := 
0  0
1  3600
2  7200
3  10800
4  14400
5  18000
6  21600
7  25200
8  28800
9  32400
10  36000
11  39600
12  43200
13  46800
14  50400
15  54000
16  57600
17  61200
18  64800
19  68400
20  72000;
param: nKnotPs := 
1 4
2 5
3 6
4 6
5 5
6 4
7 3
8 1
9 2
10 1
11 1
12 0
13 1
14 2
15 3
16 4
17 4
18 3
19 3
20 3;
