r.id  r.timeCall  r.pickupLocationID r.deliveryLocationID  r.earlyPickupTime  r.latePickupTime  r.earlyDeliveryTime  r.lateDeliveryTime  r.maxTravelDistance  r.maxNbStops
79271 6 57114 6797 6 906 6 2728 2539.9956660025673 5
274762 20 96985 101211 20 920 20 2742 2571.310982909743 5
203119 44 8217 73366 44 944 44 2767 2710.7096753155497 5
210707 46 6370 8010 46 946 46 2844 11657.100613189386 5
319539 79 129472 2640 79 979 79 2829 5886.5460393443445 5
170230 91 16692 11381 91 991 91 2827 4226.583964408856 5
44979 107 11843 7736 107 1007 107 2882 8935.486243760644 5
175627 123 44378 103559 123 1023 123 3134 37282.96793832112 5
182733 145 7685 14071 145 1045 145 2913 8066.682305556996 5
37887 154 109629 130823 154 1054 154 3223 44208.565851987965 5
249132 184 120268 7963 184 1084 184 2931 5618.37264037699 5
302441 194 15113 13024 194 1094 194 2928 4056.360847122345 5
216446 198 87633 121451 198 1098 198 2959 7263.017627138025 5
13094 201 5549 11299 201 1101 201 2932 3704.3576318032333 5
160719 214 36189 4780 214 1114 214 2990 9023.292063458137 5
13817 225 7112 4242 225 1125 225 2970 5332.7359136117 5
132880 244 116941 4103 244 1144 244 3006 7320.254888272278 5
17183 250 128613 14656 250 1150 250 2999 5845.42847281679 5
263652 253 10270 11435 253 1153 253 2997 5211.143487514753 5
144303 255 5548 3512 255 1155 255 2990 4125.206034727162 5
279313 269 4077 11302 269 1169 269 2999 3547.199717191355 5
199013 275 9903 6799 275 1175 275 3031 6614.323067344234 5
46188 286 11509 16303 286 1186 286 3025 4669.342459347947 5
96523 288 3115 10912 288 1188 288 3017 3413.080664255419 5
20443 314 4796 4249 314 1214 314 3053 4618.060379100357 5
248053 327 85092 65122 327 1227 327 3047 2341.33403094881 5
95847 329 10170 11304 329 1229 329 3133 12432.880780372412 5
105261 348 86225 3173 348 1248 348 3153 12556.1716835957 5
317182 361 57420 104387 361 1261 361 3142 9642.872867981068 5
158635 369 109588 33802 369 1269 369 3191 14533.987226676392 5
179048 375 4742 4096 375 1275 375 3095 2357.526897213894 5
223155 382 103790 21482 382 1282 382 3402 38368.86792502912 5
200376 384 100472 8312 384 1284 384 3102 2148.9792635347308 5
233748 396 5425 111723 396 1296 396 3460 43650.815743591695 5
300887 416 9903 4364 416 1316 416 3171 6569.424226948521 5
187910 419 85378 85458 419 1319 419 3148 3389.2702286914514 5
171560 421 62236 7973 421 1321 421 3486 43771.01540074187 5
267078 423 14799 123434 423 1323 423 3147 2763.684363228519 5
54994 433 10353 4098 433 1333 433 3167 3977.7856978939085 5
61517 445 85092 13421 445 1345 445 3239 11221.303703396989 5
304498 449 11844 4754 449 1349 449 3214 7705.320172199665 5
278312 451 18640 6803 451 1351 451 3203 6156.870998927053 5
173544 456 62172 127544 456 1356 456 3239 9846.142658590608 5
145629 465 7838 112165 465 1365 465 3217 6143.337565456385 5
175905 468 58696 10946 468 1368 468 3208 4770.652751272172 5
7923 483 6724 7689 483 1383 483 3254 8489.379577295394 5
93279 489 14265 7786 489 1389 489 3217 3318.0975806484294 5
313046 492 4737 35758 492 1392 492 3215 2692.196596638575 5
125976 526 14658 5548 526 1426 526 3252 3047.970368066539 5
259190 537 8329 104878 537 1437 537 3295 6915.292129544757 5
213059 539 7973 10269 539 1439 539 3294 6505.998856937401 5
134037 541 85329 36044 541 1441 541 3274 3910.949316976439 5
183151 544 62173 7975 544 1444 544 3603 42972.29288213987 5
63974 563 5420 103609 563 1463 563 3288 2987.1335849564057 5
40508 565 5193 103607 565 1465 565 3301 4292.9542970752245 5
205278 584 4795 3616 584 1484 584 3360 9002.793241806456 5
138361 594 75497 11436 594 1494 594 3332 4461.094797490521 5
25433 600 4250 13205 600 1500 600 3331 3672.3370689440967 5
4198 614 5568 128727 614 1514 614 3361 5625.014620500036 5
271690 620 125966 11506 620 1520 620 3346 3108.7272833269917 5
103567 629 7644 8316 629 1529 629 3364 4183.357530712833 5
75550 632 5549 8327 632 1532 632 3391 7030.9679948871835 5
171022 634 62242 7978 634 1534 634 3680 41504.60493903822 5
203120 649 45600 9899 649 1549 649 3378 3468.1395242266503 5
229218 652 10474 5194 652 1552 652 3392 4754.528238873582 5
207989 668 10868 2648 668 1568 668 3402 4023.199537675673 5
88072 685 7644 6728 685 1585 685 3539 18445.773360481628 5
176686 698 17172 66153 698 1598 698 3438 4689.869919506542 5
34113 704 8329 35965 704 1604 704 3468 7634.309177778697 5
310578 706 10472 8317 706 1606 706 3426 2392.3348694869046 5
328953 719 2954 12135 719 1619 719 3504 10174.914928182729 5
94607 746 4730 87453 746 1646 746 3494 5692.272491556212 5
260709 756 18635 18643 756 1656 756 3482 3092.671906232974 5
73499 761 3120 17219 761 1661 761 3479 2050.376197651429 5
226770 763 10162 8298 763 1663 763 3526 7528.436127877407 5
291801 766 104709 44482 766 1666 766 3516 5948.670066501874 5
116753 776 127297 7367 776 1676 776 3534 6880.000426424167 5
268491 785 95359 8065 785 1685 785 3526 4827.76051279505 5
47339 793 4755 7090 793 1693 793 3527 4018.084327336076 5
89289 795 109461 66426 795 1695 795 3881 46319.8162831295 5
115048 799 10173 96748 799 1699 799 3580 9615.851766518634 5
30501 807 36315 10092 807 1707 807 3575 8090.432985309795 5
187911 812 66155 8521 812 1712 812 3578 7805.036653423902 5
288359 824 17218 111742 824 1724 824 3893 44206.43867716957 5
337048 827 75422 3142 827 1727 827 3851 38844.18095177839 5
37257 833 3113 47600 833 1733 833 3600 7945.802950253919 5
338681 836 130752 104690 836 1736 836 3562 3115.111885089218 5
66145 842 4741 12092 842 1742 842 3569 3184.941892174851 5
248054 859 111710 7647 859 1759 859 3578 2275.7815852585904 5
184298 874 45610 11376 874 1774 874 3634 7144.769841516652 5
206594 879 62511 3141 879 1779 879 3706 15201.301912955718 5
75127 888 46085 85098 888 1788 888 3625 4354.582330137068 5
63975 894 9488 16303 894 1794 894 3629 4114.779017911516 5
41227 905 61911 3617 905 1805 905 4017 49382.102603144755 5
16018 915 4245 3623 915 1815 915 3674 6994.391491094013 5
265161 930 103761 2810 930 1830 930 3687 6744.618565923329 5
137163 937 7886 3117 937 1837 937 3672 4087.7113944550783 5
125344 944 49144 10050 944 1844 944 3762 14121.72744740482 5
250810 946 104606 88244 946 1846 946 3672 3043.3177831619873 5
161508 950 100442 18513 950 1850 950 3723 8713.375080644755 5
50062 954 16907 10042 954 1854 954 3696 4943.855019427288 5
146231 969 8323 4469 969 1869 969 3740 8439.600783076454 5
120207 972 9488 87444 972 1872 972 3709 4415.040747573247 5
307520 977 4795 4245 977 1877 977 3709 3758.0962969401703 5
300243 1002 3348 9453 1002 1902 1002 3741 4574.06948283933 5
134038 1016 4604 9242 1016 1916 1016 3835 14264.721873245304 5
131206 1023 5193 15624 1023 1923 1023 3777 6443.731115560008 5
